"Index","Ticket","FixVersion"
"279","BOOKKEEPER-578","4.4.0"
"280","BOOKKEEPER-1104","4.5.0"
"281","BOOKKEEPER-1101","4.5.0"
"282","BOOKKEEPER-1098","4.5.0"
"283","BOOKKEEPER-1077","4.5.0"
"284","BOOKKEEPER-1076","4.5.0"
"285","BOOKKEEPER-1075","4.5.0"
"286","BOOKKEEPER-1074","4.5.0"
"287","BOOKKEEPER-1073","4.5.0"
"288","BOOKKEEPER-1072","4.5.0"
"289","BOOKKEEPER-1065","4.5.0"
"290","BOOKKEEPER-1061","4.5.0"
"291","BOOKKEEPER-1058","4.5.0"
"292","BOOKKEEPER-1047","4.5.0"
"293","BOOKKEEPER-1044","4.5.0"
"294","BOOKKEEPER-1021","4.5.0"
"295","BOOKKEEPER-1018","4.5.0"
"296","BOOKKEEPER-1013","4.5.0"
"297","BOOKKEEPER-989","4.5.0"
"298","BOOKKEEPER-988","4.5.0"
"299","BOOKKEEPER-986","4.5.0"
"300","BOOKKEEPER-984","4.5.0"
"301","BOOKKEEPER-980","4.5.0"
"302","BOOKKEEPER-958","4.5.0"
"303","BOOKKEEPER-956","4.5.0"
"304","BOOKKEEPER-955","4.5.0"
"305","BOOKKEEPER-952","4.5.0"
"306","BOOKKEEPER-939","4.5.0"
"307","BOOKKEEPER-933","4.5.0"
"308","BOOKKEEPER-907","4.5.0"
"309","BOOKKEEPER-903","4.5.0"
"310","BOOKKEEPER-1009","4.6.0"
