"Index","Ticket","FixVersion","AffectedVersion"
"86","BOOKKEEPER-343","4.2.0","4.1.0"
"87","BOOKKEEPER-336","4.2.0","4.1.0"
"88","BOOKKEEPER-326","4.2.0","4.1.0"
"89","BOOKKEEPER-326","4.1.1","4.1.0"
"90","BOOKKEEPER-302","4.2.0","4.1.0"
"91","BOOKKEEPER-294","4.2.0","4.1.0"
"92","BOOKKEEPER-294","4.1.1","4.1.0"
"93","BOOKKEEPER-524","4.2.0","4.2.0"
"94","BOOKKEEPER-465","4.2.0","4.2.0"
"95","BOOKKEEPER-447","4.2.0","4.2.0"
"96","BOOKKEEPER-447","4.1.1","4.2.0"
"97","BOOKKEEPER-441","4.2.0","4.2.0"
"98","BOOKKEEPER-427","4.2.0","4.2.0"
"99","BOOKKEEPER-403","4.2.0","4.2.0"
"100","BOOKKEEPER-397","4.2.0","4.2.0"
"101","BOOKKEEPER-354","4.2.0","4.2.0"
"102","BOOKKEEPER-354","4.1.1","4.2.0"
"103","BOOKKEEPER-352","4.2.0","4.2.0"
"104","BOOKKEEPER-352","4.1.1","4.2.0"
"105","BOOKKEEPER-351","4.2.0","4.2.0"
"106","BOOKKEEPER-280","4.2.0","4.2.0"
"107","BOOKKEEPER-568","4.2.1","4.2.0"
"108","BOOKKEEPER-568","4.3.0","4.2.0"
"109","BOOKKEEPER-554","4.2.1","4.2.0"
"110","BOOKKEEPER-554","4.3.0","4.2.0"
"111","BOOKKEEPER-660","4.2.2","4.2.0"
"112","BOOKKEEPER-607","4.2.2","4.2.0"
"113","BOOKKEEPER-607","4.3.0","4.2.0"
"114","BOOKKEEPER-603","4.2.2","4.2.0"
"115","BOOKKEEPER-603","4.3.0","4.2.0"
