"Date","Class","LinesAdded","LinesDeleted","LinesTouched","Index","Sum"
"2014-04-24 14:44","AuditorPeriodicCheckTest.java","5815","55135","60950","7","121900"
"2013-05-31 12:02","AuditorPeriodicCheckTest.java","2855","36964","39819","5","79638"
"2013-10-11 08:36","AuditorPeriodicCheckTest.java","4131","44504","48635","6","97270"
"2014-02-05 22:43","AuditorPeriodicCheckTest.java","5551","51734","57285","7","114570"
"2017-05-16 00:31","AuditorPeriodicCheckTest.java","81092","79526","160618","","321236"
"2014-07-25 00:34","AuditorPeriodicCheckTest.java","6516","64279","70795","","141590"
"2016-09-10 21:01","AuditorPeriodicCheckTest.java","80088","52837","132925","","265850"
"2013-01-10 19:13","AuditorPeriodicCheckTest.java","635","1457","2092","2","4184"
"2016-12-21 01:48","LedgerCacheTest.java","47342","90876","138218","","276436"
"2013-02-12 06:00","LedgerCacheTest.java","12361","104910","117271","4","234542"
"2013-01-07 03:48","LedgerCacheTest.java","11777","72234","84011","2","168022"
"2012-12-24 05:50","LedgerCacheTest.java","11219","70034","81253","2","162506"
"2012-12-24 06:23","LedgerCacheTest.java","11271","70308","81579","2","163158"
"2019-02-20 11:43","LedgerCacheTest.java","54182","436393","490575","","981150"
"2013-08-12 19:01","LedgerCacheTest.java","13606","113551","127157","5","254314"
"2013-10-12 05:42","LedgerCacheTest.java","14363","115705","130068","6","260136"
"2017-05-16 00:31","LedgerCacheTest.java","47882","106744","154626","","309252"
"2013-12-02 18:45","LedgerCacheTest.java","14556","118768","133324","6","266648"
"2014-07-24 01:41","LedgerCacheTest.java","15383","127752","143135","","286270"
"2012-06-06 18:13","LedgerCacheTest.java","1709","5775","7484","1","14968"
"2014-12-10 19:43","LedgerCacheTest.java","15778","137775","153553","","307106"
"2016-03-08 06:49","LedgerCacheTest.java","16231","144467","160698","","321396"
"2014-03-12 21:26","LedgerCacheTest.java","15079","124693","139772","7","279544"
"2012-12-08 11:18","LedgerCacheTest.java","10546","64901","75447","2","150894"
"2012-10-26 12:51","LedgerCacheTest.java","9964","54651","64615","2","129230"
"2017-05-15 19:52","ReadLacProcessorV3.java","2252","10598","12850","","25700"
"2017-05-16 00:31","ReadLacProcessorV3.java","2479","11243","13722","","27444"
"2014-01-21 05:19","PerChannelBookieClient.java","19077","143705","162782","6","325564"
"2013-10-22 07:35","PerChannelBookieClient.java","18990","139264","158254","6","316508"
"2012-05-17 16:05","PerChannelBookieClient.java","12359","34206","46565","1","93130"
"2012-05-26 19:16","PerChannelBookieClient.java","12494","34942","47436","1","94872"
"2014-01-09 07:30","PerChannelBookieClient.java","19059","142255","161314","6","322628"
"2017-06-30 00:12","PerChannelBookieClient.java","40775","126506","167281","","334562"
"2014-05-27 13:56","PerChannelBookieClient.java","19326","149472","168798","7","337596"
"2017-07-04 06:27","PerChannelBookieClient.java","40800","128492","169292","","338584"
"2012-07-23 23:39","PerChannelBookieClient.java","13967","47739","61706","2","123412"
"2012-08-13 11:38","PerChannelBookieClient.java","14330","53997","68327","2","136654"
"2011-11-17 11:16","PerChannelBookieClient.java","2842","4732","7574","","15148"
"2017-01-31 04:01","PerChannelBookieClient.java","40508","109426","149934","","299868"
"2015-10-06 10:05","PerChannelBookieClient.java","19680","163763","183443","","366886"
"2016-04-05 18:47","PerChannelBookieClient.java","40404","86784","127188","","254376"
"2012-02-01 12:06","PerChannelBookieClient.java","4334","11903","16237","1","32474"
"2011-11-16 17:05","PerChannelBookieClient.java","2605","3852","6457","","12914"
"2017-04-15 13:58","PerChannelBookieClient.java","40496","115106","155602","","311204"
"2017-05-15 19:52","PerChannelBookieClient.java","40654","117918","158572","","317144"
"2012-12-01 15:04","PerChannelBookieClient.java","17095","89854","106949","2","213898"
"2016-04-05 08:45","PerChannelBookieClient.java","40402","86540","126942","","253884"
"2017-07-28 20:12","PerChannelBookieClient.java","41035","133321","174356","","348712"
"2017-01-31 02:14","PerChannelBookieClient.java","40495","103944","144439","","288878"
"2017-03-28 22:35","PerChannelBookieClient.java","40493","114003","154496","","308992"
"2017-03-23 00:48","PerChannelBookieClient.java","40502","109760","150262","","300524"
"2013-01-10 19:13","PerChannelBookieClient.java","17767","97837","115604","2","231208"
"2014-07-25 00:34","PerChannelBookieClient.java","19607","156618","176225","","352450"
"2012-02-24 20:07","PerChannelBookieClient.java","4667","17001","21668","1","43336"
"2011-11-18 11:18","PerChannelBookieClient.java","3477","6655","10132","","20264"
"2017-08-02 00:49","PerChannelBookieClient.java","41431","147329","188760","","377520"
"2012-04-02 12:38","PerChannelBookieClient.java","11728","31054","42782","1","85564"
"2017-06-21 19:58","PerChannelBookieClient.java","40780","123367","164147","","328294"
"2017-06-01 23:58","PerChannelBookieClient.java","40760","121217","161977","","323954"
"2013-10-29 05:14","PerChannelBookieClient.java","19052","140117","159169","6","318338"
"2013-06-28 17:27","PerChannelBookieClient.java","18895","136661","155556","5","311112"
"2014-02-21 19:01","PerChannelBookieClient.java","19292","145886","165178","7","330356"
"2014-02-05 22:43","PerChannelBookieClient.java","19260","144691","163951","7","327902"
"2017-04-20 19:55","PerChannelBookieClient.java","40497","115128","155625","","311250"
"2013-09-11 00:34","PerChannelBookieClient.java","18934","138162","157096","5","314192"
"2013-08-20 12:51","PerChannelBookieClient.java","18923","137864","156787","5","313574"
"2017-05-15 19:52","BookieSocketAddress.java","8171","39055","47226","","94452"
"2016-10-13 07:50","BookieSocketAddress.java","5880","14862","20742","","41484"
"2016-12-17 02:44","AuditorLedgerCheckerTest.java","110566","24930","135496","","270992"
"2017-07-07 05:11","AuditorLedgerCheckerTest.java","114218","55869","170087","","340174"
"2017-10-17 09:32","AuditorLedgerCheckerTest.java","130873","87061","217934","","435868"
"2017-05-12 15:20","AuditorLedgerCheckerTest.java","111472","40210","151682","","303364"
"2017-03-22 22:54","Cookie.java","110918","54693","165611","","331222"
"2016-11-30 00:02","Cookie.java","110782","41698","152480","","304960"
"2014-05-09 14:04","Cookie.java","510","4664","5174","7","10348"
"2014-09-23 17:53","Cookie.java","2426","16728","19154","","38308"
"2014-09-18 06:57","Cookie.java","2408","16654","19062","","38124"
"2014-12-06 08:03","Cookie.java","2510","17731","20241","","40482"
"2017-06-30 00:12","PerChannelBookieClient.java","4415","21228","25643","","51286"
"2017-07-04 06:27","PerChannelBookieClient.java","4684","23458","28142","","56284"
"2017-04-15 13:58","PerChannelBookieClient.java","713","6405","7118","","14236"
"2017-05-15 19:52","PerChannelBookieClient.java","2252","10598","12850","","25700"
"2017-07-28 20:12","PerChannelBookieClient.java","6172","29540","35712","","71424"
"2017-03-28 22:35","PerChannelBookieClient.java","334","4926","5260","","10520"
"2017-03-23 00:48","PerChannelBookieClient.java","171","511","682","","1364"
"2017-08-02 00:49","PerChannelBookieClient.java","9319","46299","55618","","111236"
"2017-06-21 19:58","PerChannelBookieClient.java","4026","17695","21721","","43442"
"2017-06-01 23:58","PerChannelBookieClient.java","3520","15059","18579","","37158"
"2017-04-20 19:55","PerChannelBookieClient.java","726","6439","7165","","14330"
"2016-11-18 00:18","InterleavedLedgerStorage.java","111581","42477","154058","","308116"
"2017-05-16 00:31","InterleavedLedgerStorage.java","112808","65569","178377","","356754"
"2014-08-02 20:02","InterleavedLedgerStorage.java","2814","15534","18348","","36696"
"2017-07-04 06:27","InterleavedLedgerStorage.java","114243","77014","191257","","382514"
"2015-04-21 09:55","InterleavedLedgerStorage.java","3996","22138","26134","","52268"
"2017-01-31 04:01","InterleavedLedgerStorage.java","111655","55652","167307","","334614"
