"Date","Class","MAXLOC","AVGLOC","Index"
"2013-06-26 03:27","LedgerCloseTest.java","655","0","5"
"2013-10-22 16:21","IndexInMemPageMgr.java","878","0","6"
"2017-07-28 20:12","EnsemblePlacementPolicy.java","115204","-209",""
"2017-08-16 03:41","CachedDNSToSwitchMapping.java","119164","0",""
"2012-12-12 11:20","BookieLedgerIndexTest.java","5378","90","2"
"2013-03-25 06:27","BookieZKExpireTest.java","18695","648","4"
"2017-03-23 00:48","AbstractConfiguration.java","118438","223",""
"2012-12-15 03:08","BookieZKExpireTest.java","17338","648","2"
"2013-10-14 16:43","BookieLedgerIndexTest.java","10379","90","6"
"2012-03-15 10:37","BookieZKExpireTest.java","11307","648","1"
"2014-07-24 01:41","TestLedgerManager.java","111768","0",""
"2015-10-22 09:22","BKException.java","118470","-343",""
"2014-12-09 19:57","TestCallbacks.java","2232","0",""
"2012-12-28 12:32","TestSpeculativeRead.java","1504","0","2"
"2014-02-05 22:43","TestSpeculativeRead.java","7026","0","7"
"2013-10-29 05:14","TestSpeculativeRead.java","6040","0","6"
"2012-06-19 12:39","AsyncLedgerOpsTest.java","12697","551","2"
"2013-03-25 06:27","TestSpeculativeRead.java","4017","20","4"
"2013-12-06 07:39","BookieThread.java","796","0","6"
"2012-12-24 05:50","MSLedgerManagerFactory.java","1326","0","2"
"2014-05-12 08:10","MSLedgerManagerFactory.java","7354","0","7"
"2014-01-17 18:13","MSLedgerManagerFactory.java","6279","0","6"
"2017-07-04 06:27","LedgerEntryPage.java","114075","291",""
"2013-04-04 11:21","MSLedgerManagerFactory.java","5076","-4","5"
"2017-06-01 23:58","SaslServerState.java","1148","0",""
"2014-07-24 01:41","TestSpeculativeRead.java","113478","0",""
"2014-06-02 11:54","TestCallbacks.java","345","0","7"
"2014-07-24 01:41","AsyncLedgerOpsTest.java","19449","0",""
"2017-03-28 22:40","MSLedgerManagerFactory.java","114505","0",""
"2013-10-22 16:21","LedgerEntryPage.java","18973","291","6"
"2012-05-10 14:47","LedgerEntryPage.java","12570","291","1"
"2012-12-12 11:20","AbstractConfiguration.java","16796","214","2"
"2012-05-24 07:12","AbstractConfiguration.java","10483","101","1"
"2013-06-12 18:41","AbstractConfiguration.java","18901","216","5"
"2016-01-26 22:11","BookieZKExpireTest.java","19475","648",""
"2014-02-21 19:01","BKException.java","19292","-347","7"
"2012-12-10 10:58","TestLedgerManager.java","16781","0","2"
"2013-09-10 15:14","BKException.java","18930","-347","5"
"2012-03-15 10:37","TestLedgerManager.java","8486","0","1"
