"Index","Class","Size","Age","NumberOfAuthors","Sum","MaxChg","AvgChg","MaxLoc","AvgLoc","ChgSetSize","Bugginess"
"19","QuorumRequestPipelineTest.java","164","359","4","0","0","0","0","0","0","NO"
"17","QuorumRequestPipelineTest.java","164","386","4","0","0","0","0","0","0","NO"
"18","QuorumRequestPipelineTest.java","164","367","4","0","0","0","0","0","0","NO"
"15","QuorumRequestPipelineTest.java","164","398","4","0","0","0","0","0","0","NO"
"16","QuorumRequestPipelineTest.java","164","391","4","0","0","0","0","0","0","NO"
"13","QuorumRequestPipelineTest.java","164","403","4","0","0","0","0","0","0","NO"
"14","QuorumRequestPipelineTest.java","164","400","4","0","0","0","0","0","0","NO"
"11","QuorumRequestPipelineTest.java","164","441","4","0","0","0","0","0","0","NO"
"12","QuorumRequestPipelineTest.java","164","403","4","0","0","0","0","0","0","NO"
"10","QuorumRequestPipelineTest.java","164","457","4","0","0","0","0","0","0","NO"
"8","DataEncryptionManager.java","39","210","1","0","0","0","0","0","0","NO"
"9","DataEncryptionManager.java","39","202","1","0","0","0","0","0","0","NO"
"1","DataEncryptionManager.java","39","283","1","0","0","0","0","0","0","NO"
"2","DataEncryptionManager.java","39","278","1","0","0","0","0","0","0","NO"
"3","DataEncryptionManager.java","39","268","1","0","0","0","0","0","0","NO"
"4","DataEncryptionManager.java","39","262","1","0","0","0","0","0","0","NO"
"5","DataEncryptionManager.java","39","247","1","0","0","0","0","0","0","NO"
"6","DataEncryptionManager.java","39","239","1","0","0","0","0","0","0","NO"
"7","DataEncryptionManager.java","39","224","1","0","0","0","0","0","0","NO"
"10","CreateMode.java","172","457","6","0","0","0","0","0","0","NO"
"10","ReconfigExceptionTest.java","210","457","4","0","0","0","0","0","0","NO"
"19","ReconfigExceptionTest.java","210","359","4","0","0","0","0","0","0","NO"
"15","ReconfigExceptionTest.java","210","398","4","0","0","0","0","0","0","NO"
"16","ReconfigExceptionTest.java","210","391","4","0","0","0","0","0","0","NO"
"17","ReconfigExceptionTest.java","210","386","4","0","0","0","0","0","0","NO"
"18","ReconfigExceptionTest.java","210","367","4","0","0","0","0","0","0","NO"
"11","ReconfigExceptionTest.java","210","441","4","0","0","0","0","0","0","NO"
"12","ReconfigExceptionTest.java","210","403","4","0","0","0","0","0","0","NO"
"13","ReconfigExceptionTest.java","210","403","4","0","0","0","0","0","0","NO"
"14","ReconfigExceptionTest.java","210","400","4","0","0","0","0","0","0","NO"
"8","MockPacket.java","53","490","2","0","0","0","0","0","0","NO"
"18","CreateMode.java","172","367","6","0","0","0","0","0","0","NO"
"9","MockPacket.java","53","482","2","0","0","0","0","0","0","NO"
"17","CreateMode.java","172","386","6","0","0","0","0","0","0","NO"
"16","CreateMode.java","172","391","6","0","0","0","0","0","0","NO"
"15","CreateMode.java","172","398","6","0","0","0","0","0","0","NO"
"14","CreateMode.java","172","400","6","0","0","0","0","0","0","NO"
"13","CreateMode.java","172","403","6","0","0","0","0","0","0","NO"
"12","CreateMode.java","172","403","6","0","0","0","0","0","0","YES"
"11","CreateMode.java","172","441","6","0","0","0","0","0","0","NO"
"1","MockPacket.java","53","563","2","0","0","0","0","0","0","NO"
"2","MockPacket.java","53","558","2","0","0","0","0","0","0","NO"
"3","MockPacket.java","53","548","2","0","0","0","0","0","0","NO"
"4","MockPacket.java","53","542","2","0","0","0","0","0","0","NO"
"5","MockPacket.java","53","527","2","0","0","0","0","0","0","NO"
"6","MockPacket.java","53","519","2","0","0","0","0","0","0","NO"
"7","MockPacket.java","53","504","2","0","0","0","0","0","0","NO"
"19","CreateMode.java","172","359","6","0","0","0","0","0","0","NO"
"9","DataTreeMXBean.java","49","482","3","0","0","0","0","0","0","NO"
"8","DataTreeMXBean.java","49","490","3","0","0","0","0","0","0","NO"
"5","DataTreeMXBean.java","49","527","3","0","0","0","0","0","0","NO"
"4","DataTreeMXBean.java","49","542","3","0","0","0","0","0","0","NO"
"7","DataTreeMXBean.java","49","504","3","0","0","0","0","0","0","NO"
"6","DataTreeMXBean.java","49","519","3","0","0","0","0","0","0","NO"
"1","DataTreeMXBean.java","49","563","3","0","0","0","0","0","0","NO"
"3","DataTreeMXBean.java","49","548","3","0","0","0","0","0","0","NO"
"2","DataTreeMXBean.java","49","558","3","0","0","0","0","0","0","NO"
"9","AsyncOpsTest.java","270","482","6","0","2","0","0","0","2","NO"
"8","AsyncOpsTest.java","270","490","6","94560","0","0","121721","-19","0","NO"
