"Date","Class","MAXLOC","AVGLOC","Index"
"2010-05-04 23:45","NIOServerCnxn.java","87905","-4","8"
"2019-11-28 12:24","RequestThrottler.java","62373","-19",""
"2011-09-17 02:36","RestoreCommittedLogTest.java","16385","0","11"
"2019-08-17 17:13","SnapshotDigestTest.java","46122","6",""
"2011-04-12 09:14","ChrootTest.java","72218","-4","11"
"2012-10-31 18:24","ClientCnxnSocketNIO.java","30428","10","19"
"2018-07-12 01:33","NIOServerCnxnTest.java","256369","23",""
"2010-03-31 06:26","DeserializationPerfTest.java","40968","0","8"
"2009-02-02 23:26","BaseSysTest.java","2137","0","2"
"2011-09-01 19:15","JMXEnv.java","78484","-9","11"
"2011-07-15 06:10","ClientCnxnSocketNIO.java","19968","2","11"
"2009-04-17 20:11","SerializeUtils.java","71604","5","4"
"2011-09-17 02:13","JUnit4ZKTestRunner.java","42283","0","11"
"2009-09-16 02:09","DeserializationPerfTest.java","3787","0","6"
"2019-06-03 19:40","X509AuthTest.java","256083","0",""
"2012-09-09 20:24","ClientCnxnSocketNIO.java","30237","4","18"
"2019-10-10 14:37","LeaderRequestProcessor.java","260120","-6",""
"2019-07-01 15:16","Version.java","271432","0",""
"2011-04-12 09:14","GetTest.java","72010","4","11"
"2011-04-12 09:14","ExistsTest.java","72010","0","11"
"2014-08-14 09:32","BaseSysTest.java","271185","-16",""
"2019-08-17 17:13","AvgMinMaxCounterSetTest.java","52485","0",""
"2011-04-12 09:14","LockListener.java","83817","0","11"
"2019-08-17 17:13","ZooKeeperTestable.java","256271","1",""
"2019-08-17 17:13","StatResetCommand.java","255967","0",""
"2019-10-10 14:37","DeserializationPerfTest.java","261253","2",""
"2012-12-19 19:16","SerializeUtils.java","266841","6",""
"2019-08-03 08:42","FileChangeWatcher.java","83970","-1",""
"2018-09-28 23:38","NettyServerCnxn.java","262759","26",""
"2019-08-17 17:13","RemotePeerMXBean.java","257706","20",""
"2014-11-29 16:53","RandomAccessFileReader.java","82724","0",""
"2011-04-12 09:14","LogIterator.java","14937","0","11"
"2019-08-17 17:13","QuorumKerberosAuthTest.java","267491","-8",""
"2020-03-19 17:09","MultipleAddressesTest.java","9576","0",""
"2014-07-19 06:39","IconResource.java","49589","0",""
"2019-08-17 17:13","ServerMXBean.java","257706","0",""
"2009-12-11 21:24","KeeperException.java","75119","0","6"
"2012-04-23 01:20","QuorumHierarchical.java","97889","-1","17"
"2019-08-17 17:13","DummyAdminServer.java","256151","0",""
"2009-06-26 22:29","KeeperException.java","59646","42","4"
"2009-02-06 22:19","ConnectionBean.java","53505","9","2"
"2019-08-17 17:13","ZKConfig.java","265463","5",""
"2009-02-04 20:57","KeeperException.java","18725","0","2"
"2019-01-07 14:39","ServerMetricsTest.java","174230","23",""
"2010-03-11 04:17","ConnectionBean.java","121396","0","7"
"2008-12-23 22:29","ServerStats.java","39154","-29","2"
"2011-04-12 09:14","QuorumHierarchical.java","83159","1","11"
"2009-11-12 20:53","ConnectionBean.java","100397","0","6"
"2017-06-26 00:07","FileTxnLog.java","268561","-16",""
"2010-08-18 08:24","ConnectionBean.java","142314","0","9"
"2019-08-17 17:13","FinalRequestProcessorTest.java","52154","80",""
"2019-08-17 17:13","MetricsProviderLifeCycleException.java","212928","0",""
"2019-08-17 17:13","LeaderElectionMXBean.java","257706","1",""
"2019-10-10 14:37","SaslAuthFailTest.java","260657","-38",""
"2011-04-12 09:14","Log4JSource.java","14937","0","11"
"2008-11-19 11:20","ClientBase.java","35600","-3","1"
"2011-04-12 09:14","PortAssignment.java","59741","0","11"
"2019-08-17 17:13","AvgMinMaxCounter.java","174230","-1",""
"2009-06-09 07:04","ClientBase.java","93763","-1","4"
"2009-08-25 07:45","ClientBase.java","96212","8","5"
"2009-09-16 02:09","ClientBase.java","108304","8","6"
"2014-07-23 19:36","CnxManagerTest.java","270082","1",""
"2010-03-31 06:26","RecoveryTest.java","122885","4","8"
"2010-03-09 05:44","ClientBase.java","122305","4","7"
"2010-08-18 08:24","RecoveryTest.java","142742","4","9"
"2010-05-15 01:32","DistributedQueueTest.java","32269","0","8"
"2019-08-17 17:13","PrependableSocket.java","111485","-55",""
"2010-03-31 06:26","ClientBase.java","122885","16","8"
"2019-10-10 14:37","EmptiedSnapshotRecoveryTest.java","263595","37",""
"2019-10-10 14:37","FourLetterWordsQuorumTest.java","260940","-28",""
"2019-08-17 17:13","RuokCommand.java","255967","0",""
"2010-08-18 08:24","ClientBase.java","170911","16","9"
"2019-08-17 17:13","NodeHashMapImplTest.java","28074","0",""
